Date : 2020-01-25 10:45:56
Directory : c:\Users\djackson\Desktop\repos\archie_server
Total : 156 files,  38787 codes, 10250 comments, 4191 blanks, all 53228 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\index-hints.d.ts                                | TypeScript |          6 |          3 |          2 |         11 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\instance-validator.d.ts                         | TypeScript |          5 |         10 |          1 |         16 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\model-manager.d.ts                              | TypeScript |         12 |          0 |          4 |         16 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\model.d.ts                                      | TypeScript |        729 |      1,689 |        324 |      2,742 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\operators.d.ts                                  | TypeScript |         41 |        429 |          3 |        473 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\promise.d.ts                                    | TypeScript |          4 |          1 |          2 |          7 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\query-interface.d.ts                            | TypeScript |        272 |        274 |         95 |        641 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\query-types.d.ts                                | TypeScript |         16 |          0 |          2 |         18 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\sequelize.d.ts                                  | TypeScript |        338 |        964 |        162 |      1,464 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\sql-string.d.ts                                 | TypeScript |          5 |          0 |          1 |          6 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\table-hints.d.ts                                | TypeScript |         18 |          0 |          2 |         20 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\transaction.d.ts                                | TypeScript |         45 |        100 |         13 |        158 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\utils.d.ts                                      | TypeScript |         75 |         20 |         25 |        120 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\utils\logger.d.ts                               | TypeScript |         10 |          6 |          3 |         19 |
| c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\utils\validator-extras.d.ts                     | TypeScript |         23 |          1 |          4 |         28 |
| c:\Users\djackson\Desktop\repos\archie_server\services\data.service.js                                                  | JavaScript |         60 |          0 |          7 |         67 |
| c:\Users\djackson\Desktop\repos\archie_server\services\file.service.js                                                  | JavaScript |        106 |         11 |          7 |        124 |
| c:\Users\djackson\Desktop\repos\archie_server\services\file.service.test.js                                             | JavaScript |         15 |          2 |          2 |         19 |
| c:\Users\djackson\Desktop\repos\archie_server\services\group.service.js                                                 | JavaScript |         50 |          5 |          7 |         62 |
| c:\Users\djackson\Desktop\repos\archie_server\services\organization.service.js                                          | JavaScript |         51 |         11 |          7 |         69 |
| c:\Users\djackson\Desktop\repos\archie_server\services\user.service.js                                                  | JavaScript |         81 |          6 |         11 |         98 |
| Total                                                                                                                   |            |     38,787 |     10,250 |      4,191 |     53,228 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
