filename, language, JSON, JavaScript, Markdown, TypeScript, comment, blank, total
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\index.js, JavaScript, 0, 59, 0, 0, 0, 4, 63
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\query-generator.js, JavaScript, 0, 30, 0, 0, 0, 9, 39
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mariadb\query.js, JavaScript, 0, 263, 0, 0, 26, 37, 326
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\connection-manager.js, JavaScript, 0, 140, 0, 0, 16, 25, 181
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\data-types.js, JavaScript, 0, 180, 0, 0, 19, 18, 217
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\index.js, JavaScript, 0, 58, 0, 0, 0, 6, 64
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\query-generator.js, JavaScript, 0, 692, 0, 0, 65, 143, 900
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\query-interface.js, JavaScript, 0, 42, 0, 0, 22, 5, 69
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\query.js, JavaScript, 0, 314, 0, 0, 27, 49, 390
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mssql\resource-lock.js, JavaScript, 0, 20, 0, 0, 0, 6, 26
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\connection-manager.js, JavaScript, 0, 112, 0, 0, 30, 18, 160
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\data-types.js, JavaScript, 0, 120, 0, 0, 9, 12, 141
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\index.js, JavaScript, 0, 57, 0, 0, 0, 4, 61
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\query-generator.js, JavaScript, 0, 539, 0, 0, 0, 3, 542
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\query-interface.js, JavaScript, 0, 55, 0, 0, 27, 10, 92
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\mysql\query.js, JavaScript, 0, 221, 0, 0, 25, 34, 280
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\parserStore.js, JavaScript, 0, 20, 0, 0, 0, 4, 24
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\connection-manager.js, JavaScript, 0, 238, 0, 0, 36, 47, 321
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\data-types.js, JavaScript, 0, 438, 0, 0, 35, 54, 527
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\hstore.js, JavaScript, 0, 12, 0, 0, 0, 4, 16
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\index.js, JavaScript, 0, 66, 0, 0, 0, 6, 72
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\query-generator.js, JavaScript, 0, 910, 0, 0, 10, 30, 950
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\query-interface.js, JavaScript, 0, 104, 0, 0, 30, 24, 158
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\query.js, JavaScript, 0, 319, 0, 0, 17, 47, 383
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\postgres\range.js, JavaScript, 0, 64, 0, 0, 0, 16, 80
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\sqlite\connection-manager.js, JavaScript, 0, 71, 0, 0, 6, 16, 93
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\sqlite\data-types.js, JavaScript, 0, 178, 0, 0, 10, 26, 214
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\sqlite\index.js, JavaScript, 0, 55, 0, 0, 0, 4, 59
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\sqlite\query-generator.js, JavaScript, 0, 412, 0, 0, 13, 56, 481
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\sqlite\query-interface.js, JavaScript, 0, 105, 0, 0, 76, 28, 209
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\dialects\sqlite\query.js, JavaScript, 0, 404, 0, 0, 19, 38, 461
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\association-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\base-error.js, JavaScript, 0, 9, 0, 0, 7, 3, 19
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\bulk-record-error.js, JavaScript, 0, 12, 0, 0, 7, 4, 23
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection-error.js, JavaScript, 0, 12, 0, 0, 7, 4, 23
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\access-denied-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\connection-acquire-timeout-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\connection-refused-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\connection-timed-out-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\host-not-found-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\host-not-reachable-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\connection\invalid-connection-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\database-error.js, JavaScript, 0, 14, 0, 0, 17, 4, 35
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\database\exclusion-constraint-error.js, JavaScript, 0, 16, 0, 0, 3, 6, 25
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\database\foreign-key-constraint-error.js, JavaScript, 0, 18, 0, 0, 3, 6, 27
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\database\timeout-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\database\unknown-constraint-error.js, JavaScript, 0, 16, 0, 0, 3, 6, 25
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\eager-loading-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\empty-result-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\index.js, JavaScript, 0, 26, 0, 0, 0, 6, 32
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\instance-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\optimistic-lock-error.js, JavaScript, 0, 15, 0, 0, 15, 4, 34
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\query-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\sequelize-scope-error.js, JavaScript, 0, 10, 0, 0, 3, 4, 17
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\validation-error.js, JavaScript, 0, 76, 0, 0, 108, 26, 210
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\errors\validation\unique-constraint-error.js, JavaScript, 0, 19, 0, 0, 3, 5, 27
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\hooks.js, JavaScript, 0, 150, 0, 0, 338, 70, 558
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\index-hints.js, JavaScript, 0, 6, 0, 0, 7, 2, 15
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\instance-validator.js, JavaScript, 0, 225, 0, 0, 157, 50, 432
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\model-manager.js, JavaScript, 0, 68, 0, 0, 8, 23, 99
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\model.js, JavaScript, 0, 2708, 0, 0, 1245, 565, 4518
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\operators.js, JavaScript, 0, 43, 0, 0, 45, 3, 91
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\promise.js, JavaScript, 0, 5, 0, 0, 0, 3, 8
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\query-interface.js, JavaScript, 0, 719, 0, 0, 564, 182, 1465
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\query-types.js, JavaScript, 0, 17, 0, 0, 20, 2, 39
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\sequelize.js, JavaScript, 0, 565, 0, 0, 659, 153, 1377
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\sql-string.js, JavaScript, 0, 98, 0, 0, 11, 18, 127
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\table-hints.js, JavaScript, 0, 18, 0, 0, 19, 2, 39
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\transaction.js, JavaScript, 0, 164, 0, 0, 118, 33, 315
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\utils.js, JavaScript, 0, 550, 0, 0, 28, 60, 638
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\utils\classToInvokable.js, JavaScript, 0, 15, 0, 0, 8, 2, 25
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\utils\deprecations.js, JavaScript, 0, 8, 0, 0, 0, 4, 12
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\utils\logger.js, JavaScript, 0, 22, 0, 0, 8, 10, 40
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\lib\utils\validator-extras.js, JavaScript, 0, 81, 0, 0, 12, 10, 103
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\package.json, JSON, 208, 0, 0, 0, 14, 1, 223
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\index.d.ts, TypeScript, 0, 0, 0, 19, 0, 2, 21
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\associations\base.d.ts, TypeScript, 0, 0, 0, 50, 53, 14, 117
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\associations\belongs-to-many.d.ts, TypeScript, 0, 0, 0, 110, 342, 31, 483
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\associations\belongs-to.d.ts, TypeScript, 0, 0, 0, 29, 85, 11, 125
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\associations\has-many.d.ts, TypeScript, 0, 0, 0, 68, 306, 25, 399
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\associations\has-one.d.ts, TypeScript, 0, 0, 0, 28, 82, 11, 121
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\associations\index.d.ts, TypeScript, 0, 0, 0, 5, 0, 1, 6
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\connection-manager.d.ts, TypeScript, 0, 0, 0, 13, 20, 4, 37
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\data-types.d.ts, TypeScript, 0, 0, 0, 323, 184, 104, 611
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\deferrable.d.ts, TypeScript, 0, 0, 0, 38, 61, 7, 106
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\errors.d.ts, TypeScript, 0, 0, 0, 73, 76, 29, 178
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\hooks.d.ts, TypeScript, 0, 0, 0, 71, 31, 9, 111
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\index-hints.d.ts, TypeScript, 0, 0, 0, 6, 3, 2, 11
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\instance-validator.d.ts, TypeScript, 0, 0, 0, 5, 10, 1, 16
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\model-manager.d.ts, TypeScript, 0, 0, 0, 12, 0, 4, 16
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\model.d.ts, TypeScript, 0, 0, 0, 729, 1689, 324, 2742
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\operators.d.ts, TypeScript, 0, 0, 0, 41, 429, 3, 473
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\promise.d.ts, TypeScript, 0, 0, 0, 4, 1, 2, 7
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\query-interface.d.ts, TypeScript, 0, 0, 0, 272, 274, 95, 641
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\query-types.d.ts, TypeScript, 0, 0, 0, 16, 0, 2, 18
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\sequelize.d.ts, TypeScript, 0, 0, 0, 338, 964, 162, 1464
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\sql-string.d.ts, TypeScript, 0, 0, 0, 5, 0, 1, 6
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\table-hints.d.ts, TypeScript, 0, 0, 0, 18, 0, 2, 20
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\transaction.d.ts, TypeScript, 0, 0, 0, 45, 100, 13, 158
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\utils.d.ts, TypeScript, 0, 0, 0, 75, 20, 25, 120
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\utils\logger.d.ts, TypeScript, 0, 0, 0, 10, 6, 3, 19
c:\Users\djackson\Desktop\repos\archie_server\sequelize-mssql\types\lib\utils\validator-extras.d.ts, TypeScript, 0, 0, 0, 23, 1, 4, 28
c:\Users\djackson\Desktop\repos\archie_server\services\data.service.js, JavaScript, 0, 60, 0, 0, 0, 7, 67
c:\Users\djackson\Desktop\repos\archie_server\services\file.service.js, JavaScript, 0, 106, 0, 0, 11, 7, 124
c:\Users\djackson\Desktop\repos\archie_server\services\file.service.test.js, JavaScript, 0, 15, 0, 0, 2, 2, 19
c:\Users\djackson\Desktop\repos\archie_server\services\group.service.js, JavaScript, 0, 50, 0, 0, 5, 7, 62
c:\Users\djackson\Desktop\repos\archie_server\services\organization.service.js, JavaScript, 0, 51, 0, 0, 11, 7, 69
c:\Users\djackson\Desktop\repos\archie_server\services\user.service.js, JavaScript, 0, 81, 0, 0, 6, 11, 98
Total, -, 12097, 24194, 70, 2426, 10250, 4191, 53228
